,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,snowfall,snowfall_SD,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1616,249539,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1617,249540,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1618,249541,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,249542,NA,NA,1987,2011,53.0475033,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1620,249543,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1621,249544,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1622,249545,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1623,249546,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1624,249547,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,249548,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
